time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,"city,region",dist_se,city,country
2015-12-31 02:20:43.090000+00:00,19.4356,-73.6324,10.0,4.6,mwr,,29.0,1.395,0.92,us,us10004aj0,2022-08-02 02:03:22.657000+00:00,"41 km SW of Bombardopolis, Haiti",earthquake,4.5,1.8,0.071,19.0,reviewed,us,us," Bombardopolis, Haiti",41.0,Bombardopolis,Haiti
2015-07-17 12:23:06.690000+00:00,19.4151,-73.7307,10.0,4.3,mb,,28.0,1.393,1.39,us,us20002y4l,2015-10-14 21:05:39.040000+00:00,"51 km SW of Bombardopolis, Haiti",earthquake,4.5,1.7,0.079,46.0,reviewed,us,us," Bombardopolis, Haiti",51.0,Bombardopolis,Haiti
2015-04-16 01:56:47.940000+00:00,18.4763,-74.0905,12.73,4.2,mb,,82.0,1.409,0.7,us,us20002752,2022-07-30 23:32:19.323000+00:00,"19 km S of Jérémie, Haiti",earthquake,4.7,6.0,0.526,1.0,reviewed,us,us," Jérémie, Haiti",19.0,Jérémie,Haiti
2015-03-23 06:11:30.100000+00:00,19.4972,-73.8081,10.0,4.3,mb,,40.0,1.299,1.27,us,us10001pr7,2015-06-09 21:30:02.040000+00:00,"53 km WSW of Bombardopolis, Haiti",earthquake,3.4,1.8,0.058,85.0,reviewed,us,us," Bombardopolis, Haiti",53.0,Bombardopolis,Haiti
2014-05-10 18:27:22.400000+00:00,18.3315,-73.5724,15.86,4.0,ml,,83.0,0.934,1.04,us,usc000r8kg,2014-08-06 00:55:30+00:00,"8 km NNW of Saint-Louis du Sud, Haiti",earthquake,,5.7,0.081,20.0,reviewed,us,us," Saint-Louis du Sud, Haiti",8.0,Saint-Louis du Sud,Haiti
2014-03-22 01:11:40.430000+00:00,18.6188,-73.6244,9.51,4.6,mb,,71.0,0.972,0.95,us,usc000nklf,2014-05-24 00:54:39+00:00,"15 km N of Baradères, Haiti",earthquake,,4.0,0.132,22.0,reviewed,us,us," Baradères, Haiti",15.0,Baradères,Haiti
2014-01-20 06:56:04.410000+00:00,18.448,-72.4119,14.58,3.4,ml,,81.0,0.102,0.79,us,usb000m4ls,2022-07-26 05:38:54.119000+00:00,"10 km S of Carrefour, Haiti",earthquake,,1.8,0.088,17.0,reviewed,us,us," Carrefour, Haiti",10.0,Carrefour,Haiti
2013-12-21 23:07:20.220000+00:00,18.1064,-72.5649,10.0,3.8,ml,,60.0,0.138,0.57,us,usc000lvjy,2014-02-27 21:37:26+00:00,"14 km SSW of Jacmel, Haiti",earthquake,,2.0,0.088,,reviewed,us,us," Jacmel, Haiti",14.0,Jacmel,Haiti
2013-02-26 00:39:04.750000+00:00,18.778,-72.186,10.0,3.6,ml,6.0,108.2,,1.15,us,usc000fdfb,2022-07-24 19:08:11.628000+00:00,"10 km SW of Mirebalais, Haiti",earthquake,,,,,reviewed,us,us," Mirebalais, Haiti",10.0,Mirebalais,Haiti
2012-09-02 12:03:43.900000+00:00,18.568,-72.647,10.0,3.7,ml,19.0,149.4,,1.26,us,usp000jrgt,2015-03-24 02:34:03.668000+00:00,"6 km NNW of Léogâne, Haiti",earthquake,,,,,reviewed,us,us," Léogâne, Haiti",6.0,Léogâne,Haiti
2012-03-25 22:39:50.510000+00:00,18.531,-72.116,10.0,3.6,ml,20.0,80.5,,1.13,us,usp000jgsx,2015-03-24 02:14:59.394000+00:00,"12 km ESE of Croix-des-Bouquets, Haiti",earthquake,,,,,reviewed,us,us," Croix-des-Bouquets, Haiti",12.0,Croix-des-Bouquets,Haiti
2012-03-08 02:51:32.400000+00:00,18.346,-72.038,6.6,4.5,mwr,233.0,24.7,,1.1,us,usp000jfxp,2015-03-24 01:40:06.401000+00:00,"12 km NNE of Belle-Anse, Haiti",earthquake,,5.1,,,reviewed,us,us," Belle-Anse, Haiti",12.0,Belle-Anse,Haiti
2011-11-14 11:53:37.950000+00:00,18.404,-72.886,37.6,4.4,mb,79.0,42.4,,1.05,us,usp000javg,2015-03-24 02:39:09.868000+00:00,"3 km SW of Tigwav, Haiti",earthquake,,6.1,,30.0,reviewed,us,us," Tigwav, Haiti",3.0,Tigwav,Haiti
